id,title,release_year,duration
1,Inception,2010,148
2,The Matrix,1999,136
3,Interstellar,2014,169
4,The Dark Knight,2008,152
5,Avatar,2009,162
6,Titanic,1997,195
7,Gladiator,2000,155
8,The Godfather,1972,175
9,Jurassic Park,1993,127
10,Avengers Endgame,2019,181
