id,name,birth_year
1,Leonardo DiCaprio,1974
2,Keanu Reeves,1964
3,Matthew McConaughey,1969
4,Christian Bale,1974
5,Sam Worthington,1976
6,Kate Winslet,1975
7,Russell Crowe,1964
8,Al Pacino,1940
9,Sam Neill,1947
10,Robert Downey Jr,1965
