id,title,seasons,release_year
1,Stranger Things,4,2016
2,Breaking Bad,5,2008
3,Game of Thrones,8,2011
4,The Office,9,2005
5,Dark,3,2017
6,The Crown,6,2016
7,The Mandalorian,3,2019
8,Friends,10,1994
9,Sherlock,4,2010
10,Westworld,4,2016
